star_id,ccd_num,imageid,zone,ra,dec,mag,x_pix,y_pix,ra_err,dec_err,                  x,                  y,                  z,flux,flux_err,normmag,flag,background,threshold,mag_err,ellipticity,class_star,orig_catid,timestamp
ref_2_123941,2,970,4425,241.2062,12.2925,16.5229,2410.4631,2754.0739,0.137,0.2535,0.124662582,-0.46524709,-0.876358595,0,0.3755,0.5727,0.7438,0.6186,0.6769,0.5291,0.9664,0.1155,123941,36792
ref_2_123941,2,971,4425,241.2062,12.2925,16.9585,2410.4631,2754.0739,0.0505,0.2507,0.124662582,-0.46524709,-0.876358595,0,0.2767,0.1877,0.8675,0.6185,0.4936,0.6213,0.856,0.9681,123941,36809
ref_2_123941,2,972,4425,241.2062,12.2925,16.9071,2410.4631,2754.0739,0.8757,0.0484,0.124662582,-0.46524709,-0.876358595,0,0.2167,0.563,0.2387,0.6299,0.8232,0.1395,0.0777,0.5712,123941,36823
ref_2_123941,2,973,4425,241.2062,12.2925,15.1383,2410.4631,2754.0739,0.3286,0.7602,0.124662582,-0.46524709,-0.876358595,0,0.2316,0.0867,0.5031,0.5418,0.6611,0.0067,0.1779,0.2153,123941,36839
ref_2_123941,2,974,4425,241.2062,12.2925,15.6423,2410.4631,2754.0739,0.4146,0.5338,0.124662582,-0.46524709,-0.876358595,0,0.7387,0.1363,0.2583,0.6802,0.4508,0.3932,0.8672,0.4075,123941,36855
ref_2_123941,2,975,4425,241.2062,12.2925,16.8275,2410.4631,2754.0739,0.1539,0.9752,0.124662582,-0.46524709,-0.876358595,0,0.318,0.3431,0.876,0.9141,0.6095,0.1037,0.5057,0.0388,123941,36870
ref_2_123941,2,976,4425,241.2062,12.2925,16.5785,2410.4631,2754.0739,0.7976,0.7937,0.124662582,-0.46524709,-0.876358595,0,0.6493,0.9714,0.0604,0.3469,0.0332,0.5817,0.9865,0.393,123941,36886
ref_2_159901,2,970,5488,239.5237,15.2455,15.7962,1905.4926,3666.1747,0.7954,0.632,-0.017700417,-0.506873626,-0.861838629,0,0.8247,0.4003,0.8201,0.9665,0.6407,0.1504,0.7907,0.6846,159901,36792
ref_2_159901,2,971,5488,239.5237,15.2455,16.2796,1905.4926,3666.1747,0.3874,0.4766,-0.017700417,-0.506873626,-0.861838629,0,0.6613,0.695,0.2963,0.6034,0.4218,0.7938,0.3666,0.816,159901,36809
ref_2_159901,2,972,5488,239.5237,15.2455,16.5874,1905.4926,3666.1747,0.7944,0.2996,-0.017700417,-0.506873626,-0.861838629,0,0.753,0.7568,0.0537,0.3066,0.1709,0.8541,0.7328,0.7856,159901,36823
ref_2_159901,2,973,5488,239.5237,15.2455,15.9287,1905.4926,3666.1747,0.9965,0.6494,-0.017700417,-0.506873626,-0.861838629,0,0.2887,0.8842,0.7766,0.488,0.5097,0.8819,0.4039,0.3018,159901,36839
ref_2_159901,2,974,5488,239.5237,15.2455,18.0007,1905.4926,3666.1747,0.6927,0.791,-0.017700417,-0.506873626,-0.861838629,0,0.0629,0.2352,0.7277,0.3715,0.615,0.6113,0.2738,0.1598,159901,36855
ref_2_159901,2,975,5488,239.5237,15.2455,16.6972,1905.4926,3666.1747,0.2852,0.7725,-0.017700417,-0.506873626,-0.861838629,0,0.9571,0.8968,0.1071,0.6751,0.6107,0.747,0.8795,0.7538,159901,36870
ref_2_159901,2,976,5488,239.5237,15.2455,15.859,1905.4926,3666.1747,0.4568,0.5123,-0.017700417,-0.506873626,-0.861838629,0,0.349,0.5618,0.0136,0.6611,0.2533,0.4199,0.4177,0.1905,159901,36886
ref_2_159901,2,977,5488,239.5237,15.2455,16.6549,1905.4926,3666.1747,0.7971,0.0209,-0.017700417,-0.506873626,-0.861838629,0,0.7932,0.4777,0.4714,0.284,0.8684,0.7256,0.006,0.689,159901,36902
ref_2_159901,2,978,5488,239.5237,15.2455,15.5161,1905.4926,3666.1747,0.7646,0.1149,-0.017700417,-0.506873626,-0.861838629,0,0.017,0.5082,0.5526,0.1733,0.4362,0.3679,0.2581,0.2573,159901,36917
ref_2_110631,2,970,4075,234.6356,11.321,16.5744,424.1083,2468.9648,0.4785,0.0383,0.244600496,-0.524547456,-0.81548793,0,0.8287,0.8912,0.7687,0.3719,0.7187,0.7707,0.4765,0.4425,110631,36792
ref_2_110631,2,971,4075,234.6356,11.321,16.2731,424.1083,2468.9648,0.2894,0.2708,0.244600496,-0.524547456,-0.81548793,0,0.4317,0.2666,0.7684,0.3211,0.9234,0.3911,0.9977,0.9288,110631,36809
ref_2_110631,2,972,4075,234.6356,11.321,15.1858,424.1083,2468.9648,0.9313,0.8306,0.244600496,-0.524547456,-0.81548793,0,0.1427,0.2694,0.6455,0.9497,0.2,0.8795,0.0965,0.4357,110631,36823
ref_2_110631,2,973,4075,234.6356,11.321,15.5754,424.1083,2468.9648,0.4219,0.4955,0.244600496,-0.524547456,-0.81548793,0,0.7849,0.5215,0.8996,0.6957,0.7816,0.2509,0.0494,0.5955,110631,36839
